aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa
bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb
cccccccccc,cccccccccc,cccccccccc,cccccccccc,cccccccccc
aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa
bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb
cccccccccc,cccccccccc,cccccccccc,cccccccccc,cccccccccc
aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa
bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb,bbbbbbbbbb
cccccccccc,cccccccccc,cccccccccc,cccccccccc,cccccccccc
aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaa
